Índice de Desenvolvimento Humano Municipal-ed 2003;;;;
Sigla;Código;Município;1991;2000
AC;1200013;Acrelândia;0,58;0,68
AC;1200054;Assis Brasil;0,575;0,67
AC;1200104;Brasiléia;0,551;0,669
AC;1200138;Bujari;0,574;0,639
AC;1200179;Capixaba;0,536;0,607
AC;1200203;Cruzeiro do Sul;0,605;0,668
AC;1200252;Epitaciolândia;0,6;0,684
AC;1200302;Feijó;0,496;0,541
AC;1200328;Jordão;0,362;0,475
AC;1200336;Mâncio Lima;0,545;0,642
AC;1200344;Manoel Urbano;0,51;0,601
AC;1200351;Marechal Thaumaturgo;0,402;0,533
AC;1200385;Plácido de Castro;0,572;0,683
AC;1200393;Porto Walter;0,43;0,54
AC;1200401;Rio Branco;0,703;0,754
AC;1200427;Rodrigues Alves;0,486;0,55
AC;1200435;Santa Rosa do Purus;0,452;0,525
AC;1200450;Senador Guiomard;0,608;0,701
AC;1200500;Sena Madureira;0,545;0,652
AC;1200609;Tarauacá;0,493;0,604
AC;1200708;Xapuri;0,564;0,669
AC;1200807;Porto Acre;0,564;0,663
AL;2700102;Água Branca;0,486;0,597
AL;2700201;Anadia;0,459;0,609
AL;2700300;Arapiraca;0,556;0,656
AL;2700409;Atalaia;0,476;0,594
AL;2700508;Barra de Santo Antônio;0,462;0,594
AL;2700607;Barra de São Miguel;0,499;0,639
AL;2700706;Batalha;0,468;0,609
AL;2700805;Belém;0,494;0,6
AL;2700904;Belo Monte;0,429;0,565
AL;2701001;Boca da Mata;0,506;0,626
AL;2701100;Branquinha;0,392;0,513
AL;2701209;Cacimbinhas;0,468;0,558
AL;2701308;Cajueiro;0,441;0,547
AL;2701357;Campestre;0,482;0,582
AL;2701407;Campo Alegre;0,51;0,595
AL;2701506;Campo Grande;0,42;0,547
AL;2701605;Canapi;0,405;0,507
AL;2701704;Capela;0,454;0,569
AL;2701803;Carneiros;0,484;0,57
AL;2701902;Chã Preta;0,465;0,559
AL;2702009;Coité do Nóia;0,458;0,569
AL;2702108;Colônia Leopoldina;0,453;0,578
AL;2702207;Coqueiro Seco;0,54;0,631
AL;2702306;Coruripe;0,515;0,615
AL;2702355;Craíbas;0,402;0,553
AL;2702405;Delmiro Gouveia;0,52;0,645
AL;2702504;Dois Riachos;0,424;0,547
AL;2702553;Estrela de Alagoas;0,45;0,545
AL;2702603;Feira Grande;0,432;0,56
AL;2702702;Feliz Deserto;0,514;0,609
AL;2702801;Flexeiras;0,44;0,554
AL;2702900;Girau do Ponciano;0,425;0,535
AL;2703007;Ibateguara;0,455;0,58
AL;2703106;Igaci;0,432;0,54
AL;2703205;Igreja Nova;0,427;0,585
AL;2703304;Inhapi;0,379;0,515
AL;2703403;Jacaré dos Homens;0,457;0,571
AL;2703502;Jacuípe;0,446;0,548
AL;2703601;Japaratinga;0,528;0,613
AL;2703700;Jaramataia;0,41;0,58
AL;2703759;Jequiá da Praia;;
AL;2703809;Joaquim Gomes;0,432;0,54
AL;2703908;Jundiá;0,469;0,56
AL;2704005;Junqueiro;0,491;0,615
AL;2704104;Lagoa da Canoa;0,436;0,58
AL;2704203;Limoeiro de Anadia;0,432;0,569
AL;2704302;Maceió;0,687;0,739
AL;2704401;Major Isidoro;0,437;0,524
AL;2704500;Maragogi;0,496;0,619
AL;2704609;Maravilha;0,465;0,563
AL;2704708;Marechal Deodoro;0,539;0,649
AL;2704807;Maribondo;0,519;0,636
AL;2704906;Mar Vermelho;0,502;0,611
AL;2705002;Mata Grande;0,436;0,563
AL;2705101;Matriz de Camaragibe;0,504;0,568
AL;2705200;Messias;0,498;0,598
AL;2705309;Minador do Negrão;0,463;0,569
AL;2705408;Monteirópolis;0,409;0,573
AL;2705507;Murici;0,461;0,58
AL;2705606;Novo Lino;0,467;0,534
AL;2705705;Olho d'Água das Flores;0,503;0,606
AL;2705804;Olho d'Água do Casado;0,438;0,542
AL;2705903;Olho d'Água Grande;0,395;0,544
AL;2706000;Olivença;0,425;0,534
AL;2706109;Ouro Branco;0,466;0,599
AL;2706208;Palestina;0,455;0,571
AL;2706307;Palmeira dos Índios;0,566;0,666
AL;2706406;Pão de Açúcar;0,518;0,614
AL;2706422;Pariconha;0,453;0,551
AL;2706448;Paripueira;0,488;0,617
AL;2706505;Passo de Camaragibe;0,465;0,563
AL;2706604;Paulo Jacinto;0,466;0,602
AL;2706703;Penedo;0,57;0,665
AL;2706802;Piaçabuçu;0,515;0,613
AL;2706901;Pilar;0,497;0,604
AL;2707008;Pindoba;0,463;0,561
AL;2707107;Piranhas;0,547;0,607
AL;2707206;Poço das Trincheiras;0,422;0,499
AL;2707305;Porto Calvo;0,516;0,599
AL;2707404;Porto de Pedras;0,413;0,499
AL;2707503;Porto Real do Colégio;0,455;0,566
AL;2707602;Quebrangulo;0,482;0,574
AL;2707701;Rio Largo;0,567;0,671
AL;2707800;Roteiro;0,435;0,522
AL;2707909;Santa Luzia do Norte;0,554;0,632
AL;2708006;Santana do Ipanema;0,527;0,616
AL;2708105;Santana do Mundaú;0,444;0,558
AL;2708204;São Brás;0,463;0,606
AL;2708303;São José da Laje;0,478;0,588
AL;2708402;São José da Tapera;0,366;0,529
AL;2708501;São Luís do Quitunde;0,477;0,582
AL;2708600;São Miguel dos Campos;0,541;0,671
AL;2708709;São Miguel dos Milagres;0,537;0,621
