Taxa de fecundidade;;;;
Sigla;Código;Município;1991;2000
AC;1200013;Acrelândia;4,887;4,355
AC;1200054;Assis Brasil;6,02;3,133
AC;1200104;Brasiléia;3,588;3,057
AC;1200138;Bujari;5,427;3,483
AC;1200179;Capixaba;5,832;4,432
AC;1200203;Cruzeiro do Sul;7,056;4,9
AC;1200252;Epitaciolândia;3,542;3,251
AC;1200302;Feijó;6,261;4,527
AC;1200328;Jordão;6,307;4,53
AC;1200336;Mâncio Lima;7,84;4,901
AC;1200344;Manoel Urbano;4,989;4,53
AC;1200351;Marechal Thaumaturgo;7,84;6,013
AC;1200385;Plácido de Castro;4,77;3,831
AC;1200393;Porto Walter;7,84;5,888
AC;1200401;Rio Branco;3,899;2,433
AC;1200427;Rodrigues Alves;7,84;6,678
AC;1200435;Santa Rosa do Purus;4,63;4,53
AC;1200450;Senador Guiomard;4,806;3,39
AC;1200500;Sena Madureira;4,629;4,53
AC;1200609;Tarauacá;6,307;5,175
AC;1200708;Xapuri;5,006;3,161
AC;1200807;Porto Acre;5,299;3,974
AL;2700102;Água Branca;5,803;4,497
AL;2700201;Anadia;4,654;2,879
AL;2700300;Arapiraca;3,399;3,309
AL;2700409;Atalaia;4,626;3,62
AL;2700508;Barra de Santo Antônio;5,499;3,754
AL;2700607;Barra de São Miguel;4,217;3,561
AL;2700706;Batalha;5,331;3,792
AL;2700805;Belém;4,44;3,257
AL;2700904;Belo Monte;6,872;4,976
AL;2701001;Boca da Mata;4,654;3,28
AL;2701100;Branquinha;4,646;4,288
AL;2701209;Cacimbinhas;4,965;3,646
AL;2701308;Cajueiro;4,36;3,708
AL;2701357;Campestre;4,024;3,62
AL;2701407;Campo Alegre;5,076;2,605
AL;2701506;Campo Grande;5,184;3,9
AL;2701605;Canapi;7,157;6,093
AL;2701704;Capela;5,137;3,59
AL;2701803;Carneiros;5,038;4,521
AL;2701902;Chã Preta;5,165;4,229
AL;2702009;Coité do Nóia;5,034;3,583
AL;2702108;Colônia Leopoldina;5,063;3,589
AL;2702207;Coqueiro Seco;5,088;3,021
AL;2702306;Coruripe;5,368;2,913
AL;2702355;Craíbas;5,218;4,118
AL;2702405;Delmiro Gouveia;3,644;2,935
AL;2702504;Dois Riachos;4,574;4,375
AL;2702553;Estrela de Alagoas;4,658;3,187
AL;2702603;Feira Grande;5,153;3,875
AL;2702702;Feliz Deserto;4,904;4,782
AL;2702801;Flexeiras;6,132;4,542
AL;2702900;Girau do Ponciano;5,609;3,932
AL;2703007;Ibateguara;4,726;3,531
AL;2703106;Igaci;4,664;3,456
AL;2703205;Igreja Nova;5,325;3,221
AL;2703304;Inhapi;7,25;4,226
AL;2703403;Jacaré dos Homens;6,632;3,359
AL;2703502;Jacuípe;4,757;4,696
AL;2703601;Japaratinga;4,844;3,635
AL;2703700;Jaramataia;6,342;3,424
AL;2703759;Jequiá da Praia;;
AL;2703809;Joaquim Gomes;4,338;4,299
AL;2703908;Jundiá;5,425;4,342
AL;2704005;Junqueiro;4,602;2,794
AL;2704104;Lagoa da Canoa;4,909;3,568
AL;2704203;Limoeiro de Anadia;4,624;4,031
AL;2704302;Maceió;2,518;2,214
AL;2704401;Major Isidoro;5,871;3,946
AL;2704500;Maragogi;5,163;4,312
AL;2704609;Maravilha;5,045;4,37
AL;2704708;Marechal Deodoro;3,562;3,041
AL;2704807;Maribondo;3,862;3,395
AL;2704906;Mar Vermelho;3,807;2,768
AL;2705002;Mata Grande;7,253;4,972
AL;2705101;Matriz de Camaragibe;5,05;3,846
AL;2705200;Messias;4,513;3,606
